,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
258,Ogroman novac,"Građani Sarajeva Toplanama duguju 77, a ViK-u 59 miliona KM",Upravni odbor Udruženja poslodavaca komunalne privrede u Federacije BiH danas je na sjednici rezimirao aktuelne probleme kako bi sugestijama i predloženim rješenjima dao doprinos poboljšanju stanja u komunalnoj privredi u Federaciji BiH.,18.01.2018. u 18:12
259,,Uskoro izgradnja potisnog cjevovoda za rezervoar vode u sarajevskom naselju Sokolje,Potpisan je ugovor između Općine Novi Grad i građevinske firme Orman o izgradnji potisnog cjevovoda od pumpne stanice Briješće do rezervoara za vodu u naselju Sokolje u dužini od kilometar i po.,16.01.2018. u 14:08
260,Zaslužuju sjetu,Izjave koje su obilježile 2017. godinu: Tragikomedijom protiv sumorne svakodnevnice,"Ostavili smo još jednu godinu iza nas, a u vrijeme kad se svode računi možemo konstatovati da je i 2017. godina u političkom smislu bila teška i sumorna za sve bh. građane. No, nerijetko su nam takvu situaciju olakšavale groteske koje su priređivali sami akteri tmurnog bh. političkog života. Prisjetimo se nekih od njih.",30.12.2017. u 14:34
261,Pripremit će projekt,Istanbulski vodovod pomaže ViK-u kako bi zaustavili gubitke vode,"Rješavanje pitanja gubitaka vode u cjevovodima te rekonstrukcija postojećeg vodovodnog sistema bile su primarne teme o kojima su danas razgovarali premijer Kantona Sarajevo Elmedin Konaković i v.d direktorica ""Vodovoda i Kanalizacije"" (ViK) Azra Muzur sa predstavnicima istanbulskog vodovoda (ISK) koje je predvodio njihov direktor Veysel Dağlar.",22.12.2017. u 14:25
262,BiH,"Ministar Fišo: ""Gras"" živi, čitav grad se vozi ""Grasom""","Zastupnici Skupštine Kantona Sarajevo na sjednici u srijedu, nakon što su dali podršku KJKP Vodovod i Kanalizacija, te pohvalili rad menadžmenta preduzeća, nisu bili zadovoljni načinom na koji se provode sanacione mjere u KJKP Gras.",20.12.2017. u 15:48
263,Tehnički poslovi,"Muzur: Zaposlili smo sina jednog od izvršnih direktora, dijete je 10 godina čekalo na posao","Sin jednog od izvršnih direktora u KJKP Vodovod i kanalizacija d.o.o. Sarajevo zaposlen je u ovom javnom preduzeću, potvrdila je direktorica Azra Muzur.",20.12.2017. u 10:49
264,Prijedlog budžeta,Ulaganja u GRAS i vodovod sljedeće godine veća od 40 miliona KM,"Skupština Kantona Sarajevo će na sjednici najavljenoj za srijedu razmatrati Prijedlog budžeta KS za 2018. godinu, a predviđeno je da planirani prihodi u narednoj godini budu 757.255.000 KM. Više od 40 miliona predodređebo je za GRAS - obnovu pruga, stajališta i vozila te sanaciju i modernizaciju vodovodne mreže.",19.12.2017. u 11:25
265,Jedan povrijeđen,"Radnici VIK-a napadnuti u Vogošći, nepoznate osobe bile naoružane sjekirama i palicama","U jutarnjim satima su u Vogošći napadnuti radnici KJKP Vodovod i kanalizacija, koji su vršili isključenje objekta s mreže vodosnabdijevanja.",18.12.2017. u 16:54
266,Izolacija,Savjeti kako da zaštitite vodomjere od niskih temperatura i pucanja,KJKP Vodovod i kanalizacija izdali su preporuke kako zaštiti vodomjer od niskih temperatura i pucanja.,08.12.2017. u 13:45
267,Prvi rezultati,"Konaković: ViK je u novembru imao rekordnu naplatu, nema više redukcija kao prije","Premijer Kantona Sarajevo Elmedin Konaković kazao je da su nakon svih dešavanja u preduzeću Vodovod i kanalizacija, promjenama menadžmenta i problemima s vodosnabdijevanjem zabilježili porast na osnovu prihoda u tekućem mjesecu, zato što se izlazi na teren, blizu 15 posto.",28.11.2017. u 16:20
268,U blizini vrtića,"Cesta na sarajevskom Stupu puna opasnih rupa, zbog nezavršenih radova stanari većinom bez vode","Stanari ulice Ismeta Alajbegovića Šerbe u sarajevskom naselju Stup već šest mjeseci imaju problem s vodosnabdijevanjem zbog radova koji su u toku. Put je iskopan i nije asfaltiran, a dio na kojem je ostao asfalt je teško oštećen i pun rupa koje predstavljaju opasnost za stanare, vozače i djecu koja idu u obližnji vrtić.",21.11.2017. u 22:04
269,Svjetske metode,Provjerili smo kako se ispituje kvalitet vode u Sarajevu: U slučaju problema izvorište se odmah zatvara,"Voda koju građani Kantona Sarajevo koriste iz gradskog Vodovoda je kvalitetna i sigurna za piće, tvrde stručnjaci iz KJKP Vodovod i kanalizacija, ali i JU Zavod za javno zdravstvo, koji svakodnevno uzimaju i analiziraju uzorke.",16.11.2017. u 08:08
270,Akcija gašenja,"ViK u narednih osam dana isključuje 55 potrošača, firme duguju skoro 8 miliona KM","KJKP Vodovod i kanalizacija u srijedu počinje aktivnosti na isključenju potrošača iz sistema vodosnabdijevanja, a po osnovu neplaćanja računa za utrošenu vodu i odvodnju.",14.11.2017. u 10:09
271,Na račun građana,Čeka li direktora ZOI'84 Midhata Hubijara politička sudbina Nezira Hadžića,"Premijer Kantona Sarajevo Elmedin Konaković nakon preduzeća Vodovod i kanalizacija ušao je u otvoreni sukob s još jednim menadžmentom javnog preduzeća. Ovaj put riječ je o preduzeću ZOI'84 na čijem čelu se nalazi Midhat Hubijar. Postavlja se pitanje, hoće li građani ispaštati zbog unutarstranačkih sukoba i frakcija.",13.11.2017. u 10:17
272,Skupa rabota,"Bivši direktor ViK-a Nezir Hadžić: Sarajlije će plaćati skuplju vodu, kao uslov za kredit EBRD-a",Smijenjeni direktor javnog komunalnog preduzeća Vodovod i kanalizacija Sarajevo Nezir Hadžić oglasio se prvi put nakon smjene otvoreno prozvavši Vladu KS da je građanima prešutila činjenicu da će plaćati skuplju vodu kada istekne grace period za otplatu već odobrenog kredita EBRD-a.,06.11.2017. u 18:50
273,Dobre vijesti,"Počelo ukidanje noćnih redukcija vode u dijelovima Sarajeva, sve manje žalbi građana ViK-u","Mještani nekoliko sarajevskih naselja proteklih noći nisu imali problema s nestašicom vode zbog povećanja akumulacije vode na pojedinim izvorištima, potvrđeno nam je iz preduzeća Vodovod i kanalizacija (ViK) Kantona Sarajevo.",03.11.2017. u 22:00
274,Zahtjevna aktivnost,ViK: Popravljen kvar na transportnom cjevovodu u ulici Safeta Hadžića u Sarajevu,"U ulici Safeta Hadžića u Sarajevu je sinoć, 2. oktobra 2017. godine, izvršena popravka kvara na dijelu čeličnog transportnog cjevovoda DN 1000 na spoju sa čeličnim cjevovodom DN 150, pri čemu su stvoreni uslovi za montažu zatvarača DN 150, PN 16 i montažu usisno-ozračnog ventila DN 150, PN 16.",03.11.2017. u 10:41
275,Ulica Terezije,Dio sarajevske općine Centar bez vode zbog velikog kvara na vodovodnoj mreži,"Zbog sanacije velikog kvara koji je oko 16 sati registrovan u sarajevskoj Ulici Terezije, u općini Centar, zatvoren je dio vodovodne mreže na ovom lokalitetu. Kvar je registrovan između broja 33 i 34.",31.10.2017. u 18:36
276,Vodosnabdijevanje,Konaković na prvom sastanku sa Muzur: Tražimo maksimalnu angažovanost i značajnije rezultate u ViK-u,"Premijer Kantona Sarajevo Elmedin Konaković boravio je u radnoj posjeti Kantonalnom javnom komunalnom preduzeću ""Vodovod i kanalizacija"" (ViK) gdje je u razgovoru s novim menadžmentom koji je predvodila v.d. direktorica Azra Muzur informisan da je ovo preduzeće za kratko vrijeme uspjelo stabilizirati vodosnabdijevanje u nekim dijelovima grada.",31.10.2017. u 11:35
277,Sramotno stanje,Kupusović: Novoj direktorici ViK-a dati barem 100 dana da zaustavi propadanje vodovoda,"Novoj direktorici KJKP ""Vodovod i kanalizacija"" Sarajevo i struci treba dati barem 100 dana da autonomno i odgovorno preokrenu trend propadanja vodovoda u njegov postepeni oporavak i normalizaciju ocijenio je u razgovoru za Fenu profesor i direktor Instituta za hidrotehniku Sarajevo Tarik Kupusović.",29.10.2017. u 09:27
278,6. dan bez vode,"ViK: Nismo ukinuli cisternu s vodom, pokvarila se i čekamo rezervni dio","Nakon što su stanovnici Zabrđa, Rječice i Briješća izrazili nezadovoljstvo zbog prekida u isporuci vode, oglasili su se i iz Vodovoda i negirali tvrdnje da je ovo preduzeće ukinulo cisternu i ostavio bez vode građane ovih naselja.",28.10.2017. u 16:11
279,ViK ne dovozi vodu,"Više od stotinu domaćinstava u sarajevskim naseljima Zabrđe, Rječica i Briješće ostalo bez pitke vode","Stanovnici novogradskih naselja Zabrđe, Rječica i Briješće, koji se već duži vremenski period zbog niskog pritiska na gradskoj vodovodnoj mreži snabdijevaju vodom iz cisterni, već peti dan nemaju vodu za piće.",27.10.2017. u 19:57
280,ViK prelio čašu,SDA Novi Grad traži od vrha stranke da otkažu podršku Elmedinu Konakoviću,"Na sjednici Izvršnog odbora SDA Novi Grad Sarajevo održanoj 23. oktobra, odbornici stranke su jednoglasno usvojili zaključak u kojem od Kantonalnog odbora i Predsjedništva SDA traže uskraćivanje podrške premijeru Kantona Sarajevo Elmedinu Konakoviću.",25.10.2017. u 23:57
281,Nakon mjeseci šutnje,Sarajevski vodovod ponovo otvoren za upite građana,KJKP “Vodovod i kanalizacija“ Sarajevo od utorka 17. oktobra građanima ponovo pruža usluge dvosmjerne komunikacije na relaciji VIK-građani.,25.10.2017. u 15:23
282,Gdje je rješenje,Pitali smo opoziciju u Sarajevu kako bi oni riješili problem redukcija vode,"Kako će vlasti u Kantonu Sarajevo riješiti problem vodosnabdijevanja pitaju se svi građani glavnog grada koji se već više od dvije godine bore s noćnim i mjesecima s dnevnim redukcijama vode. Međutim, još će se načekati odgovora nadležnih koji, izgleda, ne znaju šta učiniti. Pitali smo predstavnike opozicije u KS na koji način bi oni riješili najveći problem Sarajlija.",24.10.2017. u 08:02
283,Rok za dogovor,Sarajevski Vodovod prekida isključivanje dužnika sa sistema u narednih 15 dana,"KJKP Vodovod i kanalizacija saopćilo je kako će u narednih 15 dana obustaviti aktivnosti isključenja dužnika, te je uputilo poziv dužnicima da dođu u prostorije Službe naplate preduzeća kako bi potpisali Ugovore o plaćanju dugovanja u ratama.",23.10.2017. u 15:42
284,Najavljivano ranije,"""Vodovod"" isključuje najveće dužnike sa sistema u Sarajevu","Radnici KJKP Vodovod i kanalizacija počeli su akciju isključivanja najvećih dužnika sa sistema vodovodne mreže, potvrdio je za Klix.ba v. d. izvršnog direktora za vodovodni sistem Salhudin Bakal.",23.10.2017. u 08:55
285,Najavljene promjene,Nova direktorica ViK-a Azra Muzur: Primarni cilj nove uprave je borba s gubicima vode,"Direktorsku stolicu u KJKP Vodovod i kanalizacija ove sedmice zauzela je Azra Muzur, bivša šefica tehničke službe sektora Kanalizacije, po struci inžinjerka građevine, hidrološki smjer. Na toj poziciji zamijenila je Nezira Hadžića koji je smijenjen jer njegovim radom nisu bili zadovoljni ni Vlada ni Skupština KS.",20.10.2017. u 19:59
286,Kompletirana uprava,"Imenovani vršioci dužnosti izvršnih direktora preduzeća ""Vodovod i kanalizacija""","Nadzorni odbor KJKP “Vodovod i kanalizacija“ Sarajevo, na sjednici koju je održao danas u kasnim poslijepodnevnim satima, imenovao je nove vršioce dužnosti izvršnih direktora preduzeća.",20.10.2017. u 19:05
287,25 litara u sekundi,Potpisan sporazum: Voda iz Istočnog Sarajeva snabdijevat će Hrasno i Donji Kotorac,"U Istočnom Sarajevu danas je potpisan ugovor između KJKP Vodovod i kanalizacija Sarajevo i KP Vodovod i kanalizacija Istočno Sarajevo o isporuci vode, a potpisali su ga direktori ova dva preduzeća Jovan Katić i Azra Muzur.",20.10.2017. u 15:27
288,Konferencija na IUS,Stručnjaci iz Turske predstavljaju nove tehnologije vodosnabdijevanja koje mogu pomoći Sarajevu,Konferencija i izložba o vodosnabdijevanju i gubitku vode u vodovodnom sistemu počela je danas na Internacionalnom Univerzitetu u Sarajevu (IUS). Stručnjaci za vodovod iz Turske i BiH te predstavnici turskih firmi i domaćih vlasti danas i sutra će razgovarati o novim tehnologijama uz pomoć kojih bi se mogla stabilizirati vodovodna i kanalizaciona mreža u glavnom gradu BiH.,19.10.2017. u 13:31
289,Stop redukcijama,"Ogorčeni građani Sarajeva na protestima poručili: ""Voda odmah, svi ste nadležni!""","""Voda odmah"", ""Voda nije privatno vlasništvo"" i ""Tražili smo čist zrak, a ne zrak iz česme"" samo su neke od poruka koje su građani okupljeni oko inicijative ""Vodoodbrana Sarajeva"" uputili nadležnima u Vodovodu i kanalizaciji i Vladi Kantona Sarajevo na današnjim protestima.",17.10.2017. u 15:41
290,Stranački kanister,Ko je nova direktorica ViK-a Azra Muzur: Bivša šefica sektora Kanalizacije i kadar SDA,"Nova v. d. direktorice sarajevskog Javnog preduzeća Vodovod i kanalizacija je Azra Muzur, bivša šefica tehničke službe sektora Kanalizacije. Na užarenoj direktorskoj stolici zamijenit će Nezira Hadžića, osobu čijim radom nije bio zadovoljan premijer Kantona Sarajevo Elmedin Konaković, ali ni Skupština KS, zbog čega je i pokrenuta smjena.",17.10.2017. u 12:24
291,Najavio saradnju,Konaković: Od novog menadžmenta ViK-a očekujem velike rezultate,"Premijer Kantona Sarajevo Elmedin Konaković kazao je Feni da je redukcija vode u Kantonu Sarajevo najveći problem, ali da velike rezultate očekuje od novog menadžmenta preduzeća ""Vodovod i kanalizacija"".",17.10.2017. u 11:54
292,Nadzorni odbor,"Smijenjen direktor ViK-a Nezir Hadžić, za v.d. direktorice imenovana Azra Muzur",Novi Nadzorni odbor (NO) preduzeća Vodovod i kanalizacija (ViK) Sarajevo smijenio je upravu ovog preduzeća i imenovao Azru Muzur za vršiteljicu dužnosti direktorice.,16.10.2017. u 19:03
293,Nada za spas,"ViK uvodi devet novih ekipa za otklanjanje kvarova, stigla ispomoć u vidu bagera i radnika","Postupajući po mjerama koje je usvojila Vlada Kantona Sarajevo na 90. vanrednoj sjednici, KJKP Vodovod i kanalizacija je dobio pomoć drugih komunalnih preduzeća koji su im ustupili radnike, opremu ili mehanizaciju.",12.10.2017. u 17:58
294,Mještani se žale,Brojna sarajevska naselja ponovo nenajavljeno ostala bez vode,"Stanovnici brojnih sarajevskih naselja, većinom u općinama Novo Sarajevo i Novi Grad, ponovo su danas ostali bez vode, i to bez ikakvog upozorenja i najave iz preduzeća Vodovod i kanalizacija.",08.10.2017. u 13:20
295,Dvomjesečni plan,"Vlada KS zadužila komunalna preduzeća da pomognu ViK-u, zaposlit će i nove radnike",Premijer Kantona Sarajevo Elmedin Konaković i ministar komunalne privrede i infrastrukture Senad Hasanspahić u utorak su razgovarali s menadžmentima javnih komunalnih preduzeća te Kantonalne uprave civilne zaštite o realizaciji prve mjere Vlade KS za unapređenje stanja vodosnabdijevanja.,03.10.2017. u 17:46
296,Situacija kritična,"Damir Saračević, član novog NO ViK-a: Građani Sarajeva će uskoro osjetiti poboljšanja u vodosnabdijevanju","Skupština preduzeća Vodovod i kanalizacija (ViK) Sarajevo nedavno je smijenila stari i imenovala novi Nadzorni odbor (NO) koji je na sebe preuzeo zahtjevnu ulogu reforme preduzeća u trenutku možda i najveće krize i redukcija vode u Sarajevu. U razgovoru za Klix.ba član NO Damir Saračević objašnjava koji će biti prvi potezi u cilju rješavanja problema, koji su najveći izazovi te planovi i rješenja koja misle ponuditi.",29.09.2017. u 07:58
297,Bez podrške,Sabina Ćudić: Nećemo podržati mjere Vlade o vodosnabdijevanju za koje priznaju da su improvizacija,"Na današnjoj hitnoj sjednici Skupštine Kantona Sarajevo o stanju u vodosnabdijevanju, zastupnica Naše stranke Sabina Ćudić osvrnula se na Izvještaj Vlade KS, koji je dostavljen zastupnicima svega dan i pol prije sjednice.",28.09.2017. u 18:20
298,Čekajući promjene,Konaković: Preuzimam odgovornost za predložene mjere rješenja problema u ViK-u,"U nastavku hitne sjednice Skupštine Kantona Sarajevo, zastupnici Skupštine KS su na prijedlog premijera Elmedina Konakovića, preformulirali poduzete mjere u ""informaciju"", te su primili k znanju informaciju o rješavanju problema u vodosnabdijevanju Kantona, odnosno, problemima KJKP Vodovod i Kanalizacija.",28.09.2017. u 17:59
299,Problemi Vodovoda,"Ministar Hasanspahić: Veliki broj bespravnih priključaka, ViK ne zna kuda prolazi mreža","Ministar komunalne privrede i infrastrukuture Kantona Sarajevo Senad Hasanspahić je na hitnoj sjednici Skupštine KS-a o stanju vodosnabdijevanja, govoreći o poslovanja i radu preduzeća Vodovod i kanalizacija, kazao da u posljednjih deset godina nije rekonstruirano 24 kilometra vodovodne mreže koliko je trebalo uraditi po pravilima za godinu dana.",28.09.2017. u 12:58
300,Hitna sjednica,"Konaković: Stanje u ViK-u je katastrofalno, uposlenici su krali cijevi i odnosili ih kućama","Premijer Kantona Sarajevo Elmedin Konaković obratio se na sjednici Skupštine Kantona Sarajevo koja danas raspravlja o mjerama za rješenje problema vodosnabdijevanja, ističući kako u vodosnabdijevanju nije napravljen nijedan korak naprijed.",28.09.2017. u 11:31
301,Hitna sjednica,Skupština Kantona Sarajevo danas o mjerama za rješenje problema vodosnabdijevanja,"Poslanici Skupštine Kantona Sarajevo će na hitnoj sjednici koja je zakazana za danas razmatrati jedinu tačku dnevnog reda, a to je Izvještaj o vodosnabdijevanju Kantona Sarajevo s predloženim mjerama za rješavanje tog problema.",28.09.2017. u 08:05
302,ViK vrši analize,Stanovnici sarajevskog naselja Šip u agoniji: Strahuju da je zbog redukcije voda ponovo zagađena,"Stanovnici ulice Branilaca Šipa, u sarajevskom naselju Šip, ponovo proživljavaju agoniju kada je riječ o ispravnosti vode. Prošle godine došlo je do miješanja pitke vode s kanalizacijom, a oni su je pili danima jer to nisu znali. Sada su im uvedene redukcije, što im izaziva problem s ispravnosti vode.",27.09.2017. u 19:56
303,Optužbe nakon smjene,Bivši predsjednik NO ViK-a optužio Konakovića za nestašicu vode u Sarajevu,"Tajib Delalić, doskorašnji predsjednik Nadzornog odbora KJKP “Vodovod i kanalizacija”, izdao je saopćenje u kojem iznosi svoj stav o problematici nestašice vode u glavnom gradu BiH.",27.09.2017. u 12:06
304,Najviše za Novi Grad,U protekle dvije godine ViK izdvojio 10 miliona KM za rekonstrukciju vodovodne mreže,"Prema Izvještaju o vodosnabdijevanju Kantona Sarajevo, koji je na jučerašnjoj vanrednoj sjednici prihvatila Vlada KS, ukupna sredstva iz preduzeća Vodovod i kanalizacija koja su iz različitih izvora finansiranja u protekle dvije godine usmjerena za rekonstrukciju iznose 10,7 miliona KM.",27.09.2017. u 11:02
305,Premijer optimista,"Konaković: Mjere koje će riješiti problem s vodom trebao je predložiti ViK, očekujem novi menadžment","Vlada Kantona Sarajeva danas je usvojila devet mjera koje je neophodno poduzeti kako bi se riješio problem u vodosnabdijevanju u KS. Mjere će biti razmotrene na Skupštini KS i zastupnici će se o njima izjasniti na Hitnoj sjednici u četvrtak. Premijer KS Elmedin Konaković je kazao da očekuje da će novi Nadzorni odbor promijeniti menadžment KJKP Vodovod i kanalizacija te da, primjenom mjera, redukcija od narednog ljeta više neće biti.",26.09.2017. u 19:00
306,978 kvarova,"Vlada KS usvojila 9 mjera za unapređenje vodosnabdijevanja, bit će formiran i Centar za korisnike","Vlada Kantona Sarajevo je u okviru dvodnevnog zasjedanja na nastavku 90. vanredne sjednice posvećene problemu vodosnabdijevanja usvojila devet mjera koje je neophodno poduzeti u cilju unapređenja stanja vodosnabdijevanja Kantona Sarajevo. Ove mjere razmotrit će zastupnici Skupštine KS i o njima se izjasniti na Hitnoj sjednici o stanju vodosnabdijevanja koja će se održati u četvrtak, 28. septembra.",26.09.2017. u 16:35
307,Prosta računica,"Građani Sarajeva u prosjeku godišnje nemaju vode 152 dana, kante i flaše su im redovna oprema","Najveći problem s kojim se građani Kantona Sarajevo suočavaju je neredovno vodosnabdijevanje koje im uzrokuju konstantne višesatne redukcije. Građani su s pravom frustrirani, jer prostom računicom u posljednih godinu dana u mnogim dijelovima Sarajeva vode u prosjeku nije bilo ukupno 152 dana.",25.09.2017. u 19:20
308,Bez najave,"Pojedina sarajevska naselja imaju i dnevne redukcije vode, građani ogorčeni",Nekoliko sarajevskih naselja ni danas nema uredno vodosnabdijevanje iako redukcije nisu najavljene.,24.09.2017. u 13:42
309,Uloženi milioni,Bez brige i kada je suša: Kako su Tuzlaci zasukali rukave i riješili problem redukcija vode,"Građani Tuzle decenijama su se suočavali sa problemom redukcija pitke vode, a njihovim mukama došao je kraj 2006. godine kada je svečano u rad puštena Fabrika pitke vode u naselju Cerik. Blagodeti višemilionskog projekta posebno su se osjetili minulog ljeta, kada se u vrijeme velikih suša isporuka pitke vode odvijala sasvim normalno.",23.09.2017. u 18:20
310,Gorući problem,"Konaković: Lopovi koji kradu vodu će vratiti kredit EBRD-u, naredno ljeto bez redukcija ili bez premijera","Premijer Kantona Sarajevo Elmedin Konaković održao je danas konferenciju za medije u Sarajevu na kojoj je najviše bilo riječi o vodosnabdijevanju, što je gorući problem glavnog grada. Konaković je izrazio odlučnost da se situacija popravi te je rekao da će oni koji kradu vodu vratiti kredit EBRD-u. Na pitanje dokad će trajati redukcije, Konaković je kazao da će naredno ljeto biti bez redukcija ili Sarajevo bez premijera.",21.09.2017. u 15:31
311,Nakon smjene,Poznati vršioci dužnosti članova novog Nadzornog odbora ViK-a,Na jučerašnjoj sjednici Skupštine KJKP Vodovod i kanalizacija d.o.o. Sarajevo donesena je odluka o razrješenju predsjednika i članova Nadzornog odbora.,21.09.2017. u 14:38
312,U toku zamjena,"Šest sarajevskih naselja do 20 sati neće imati vode, ViK ne može popraviti kvar na Kobiljoj Glavi","Sarajevska naselja Koševsko brdo, Koševo, Ciglane, Pofalići, Velešići i naselje Park do 20 sati neće imati vode jer KJKP Vodovod i kanalizacija nije uspio popraviti zatvarač na glavnom cjevovodu na rezervoaru Kobilja Glava.",19.09.2017. u 13:38
313,ViK na terenu,Šest sarajevskih naselja bez vode zbog kvara na Kobiljoj Glavi,"Sarajevska naselja Koševsko brdo, Koševo, Ciglane, Pofalići, Velešić i naselje Park od sinoć nemaju vode.",19.09.2017. u 08:17
314,Popravci kvarova,"U Sarajevu nenajavljene dnevne redukcije vode, VIK ne zna kad će se situacija popraviti","Na 20 lokacija u Sarajevu danas se vrše popravke na vodovodnoj mreži i, kako su građani i navikli, zbog toga ni danas u mnogim dijelovima Sarajeva nema vode. Iz VIK-a, koji građane, umjesto vodom svakodnevno snabdijeva saopćenjima u kojima najavljuju lokacije koje će tog dana biti bez vode, kažu kako ne znaju dokad će ove nestašice biti svakodnevna pojava u glavnom gradu BiH.",13.09.2017. u 13:57
315,Očekuje promjene,"Elmedin Konaković: Da je ViK uradio samo dio onoga što smo tražili, redukcija ne bi bilo","Premijer Kantona Sarajevo Elmedin Konaković očitovao se o gorućem problemu u Sarajevu, redukcijama vode, napomenuvši na svom Facebook profilu da su u prošloj godini izdvojili 6,6 miliona za Vodovod, za rekonstrukciju mreže i nabavku alata i opreme.",13.09.2017. u 11:08
316,Normalizacija od 20h,Veći dio Sarajeva bez vode zbog kvara na pumpi rezervoara Mojmilo,"Građani u većem dijelu Sarajeva ponovo danas nemaju vode, a kako su saopćili iz preduzeća Vodovod i kanalizacija razlog za to je novi kvar na pumpi, na jednom od rezervoara na Mojmilu.",12.09.2017. u 16:08
317,Bez najave,Građani negoduju: Veliki dio Sarajeva ostao bez vode tri sata prije očekivanih redukcija,"Građani Sarajeva su ostavi bez vode u poslijepodnevnim satima. Iako to nigdje nije najavljeno, česme su presušile u većem dijelu grada već oko 19 sati, a ranije je praksa bila da to bude od 22 sata.",11.09.2017. u 20:51
318,ViK na terenu,"Zbog ponovnog puknuća cijevi u centru Sarajeva građani bez vode, ulice poplavljene",Sarajevsko naselje Marijin Dvor jutros je ostalo bez vode i ulica je opet poplavljena jer je ponovo došlo do pucanja vodovodne cijevi koja je jučer sanirana.,11.09.2017. u 09:26
319,ViK na terenu,"Puknuće cijevi izazvalo manju poplavu u centru Sarajeva, pritisak vode podigao trotoar",U sarajevskoj ulici Maršala Tita u nedjelju oko 15 sati pukla je vodovodna cijev čega je nakratko poplavljen lokalitet od raskrsnice sa ulicom Valtera Perića do SCC-a.,10.09.2017. u 16:39
320,Udruženje Kap,Pokrenuta peticija za kolektivnu tužbu građana protiv VIK-a i Vlade KS zbog vodosnabdijevanja,"Udruženje za razvoj društva ""Kap"" poziva sve građane Sarajeva i pravne subjekte koji se snabdijevaju vodom iz KJKP 'Vodovod i kanalizacija' d.o.o Sarajevo, da potpišu peticiju za pokretanje kolektivne tužbe protiv tog preduzeća i njegovog osnivača Vlade Kantona Sarajevo zbog neispunjavanja zakonskih obaveza za isporuku i kvalitet pitke vode građanima.",07.09.2017. u 17:45
321,ViK pojačao kontrolu,"U vodozaštitnoj zoni u Sarajevu pronađeni ostaci kurbana, apel građanima da se pridržavaju propisa",Nakon prvog dana Kurban-bajrama KJKP Vodovod i kanalizacija pojačao je kontrolu u područjima vodozaštitnih zona zbog toga što nesavjesne osobe odlažu ostatke kurbana na nepropisan način i na nepropisna mjesta.,02.09.2017. u 16:33
322,Novi apel,ViK: Nastojat ćemo uredno vodosnabdijevati Kanton Sarajevo za dane Bajrama,"Nakon brojnih žalbi građana Kantona Sarajevo oglasili su se iz Vodovoda i kanalizacije poručivši da je stanje posljednjih dana veoma otežano, posebno na području Novog Grada i Novog Sarajeva, ali da će nastojati održati uredno vodosnabdijevanje za dane Kurban-bajrama.",31.08.2017. u 19:10
323,Popravke na sistemu,Dan pred Bajram: Građani Sarajeva ogorčeni zbog cjelodnevnog manjka vode,"Dan pred obilježavanje Kurban-bajrama značajan dio glavnog grada Bosne i Hercegovine nije imao regularan dotok vode ili je on bio u krajnjoj mjeri izrazito otežan. Razlog su posljednji radovi na sistemu, ali većina građana nije bila spremna za ovakav scenarij te je izraženo veliko nezadovoljstvo, posebno na društvenim mrežama.",31.08.2017. u 16:12
324,Ekspert za vodu,"Đevad Koldžo: Sarajevo ima dovoljne količine vode za opskrbu više od 1,98 miliona stanovnika","Svjetski ekspert za neprihodovanu vodu Đevad Koldžo tvrdi kako Sarajevo ima dovoljne količine vode za uredno snabdijevanje više od 1,98 miliona stanovnika.",27.08.2017. u 16:48
325,Pogodnost,Potrošači u Zenici će dugovanja zeničkom VIK-u moći platiti bez kamata,"Javno preduzeće ""Vodovod i kanalizacija"" Zenica omogućiti će svim potrošačima vode iz kategorija ""domaćinstvo"" i ""privreda"" da bez plaćanja zatezne kamate izmire svoja dugovanja do kraja ove kalendarske godine.",23.08.2017. u 13:21
326,Ponuda na stolu,Ćosić: Višak vode kojeg proizvodi ViK Istočno Sarajevo mogao bi se plasirati KS-u,"U Vodovodu Istočno Sarajevo imamo dovoljno vode. Naši potrošači se snabdijevaju vodom bez redukcije i sve viškove koje bi mogli da proizvodimo u mogućnosti smo da plasiramo prema Kantonu Sarajevo, odnosno prema drugom vodovodnom preduzeću, uz određeni dogovor"", kazao je Feni načelnik Općine Istočno Novo Sarajevo Ljubiša Ćosić.",21.08.2017. u 15:13
327,Vanredna sjednica,Vlada KS od menadžmenta ViK-a zatražila dostavljanje svakodnevnih izvještaja,"Na danas otvorenoj vanrednoj sjednici povodom problema sa vodosnabdijevanjem Sarajeva, Vlada Kantona Sarajevo je zatražila od menadžmenta KJKP Vodovod i kanalizacija (ViK) da svakodnevno dostavlja izvještaj o stanju snabdjevenosti vodom, o količinama vode na izvorištu Bačevo, o broju prijavljenih i otklonjenih kvarova, kao i o otkrivanju i smanjenju broja nelegalnih potrošača, odnosno njihovom isključivanju iz mreže, sa odvojenim podacima o broju pravnih i fizičkih lica.",15.08.2017. u 12:23
