,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
44,Potpisan ugovor,"Za mart najavljen početak rekonstrukcije vodovodne mreže u cijelom Kantonu Sarajevo, radovi u 45 ulica","Potpisan je ugovor za rekonstrukciju sarajevske vodovodne mreže na trasi dugoj 36 kilometara, a što će koštati 9,8 miliona eura. Novac je osiguran kreditom Evropske banke za obnovu i razvoj (EBRD), a radovi bi trebali početi u martu.",01.02.2023. u 14:17
45,,"Sarajevski ViK: Prošle godine smo naplatili rekordnih 48,4 miliona KM","Sarajevsko preduzeće Vodovod i kanalizacija (ViK) je prošle godine naplatilo, kako je saopćilo, rekordnih 48,4 miliona KM na osnovu računa za vodu i odvodnju.",30.01.2023. u 09:13
46,Usljed niske temperature,"Sarajevski ViK pozvao da se zaštite vodomjeri i cijevi od smrzavanja, objasnili kako to uraditi",Sarajevsko preduzeće Vodovod i kanalizacija (ViK) pozvalo je građane da zaštite vodomjere i cijevi od smrzavanja vode ili oštećenja vodomjera.,21.01.2023. u 15:59
47,Kanton Sarajevo,Najavljen nastavak izgradnje kanalizacije na području Trebevića,"Najavljena je izgradnja kanalizacionog sistema na području Trebevića, a na koji bi trebali biti priključeni i Napretkov dom, hotel Pino Nature, Bistrik kula (Observatorij), buduća botanička bašta, javni toalet i parkinzi.",13.01.2023. u 14:45
48,Komunalna privreda,Obilježene 133 godine postojanja sarajevskog preduzeća Vodovod i kanalizacija,"Obilježene su 133 godine postojanja sarajevskog preduzeća Vodovod i kanalizacija (ViK), a tom prilikom odata je počast radnicima ovog preduzeća koji su život izgubili tokom posljednjeg rata u Bosni i Hercegovini.",06.12.2022. u 13:54
49,Održavanje sistema,ViK: Prekid u vodosnabdijevanju u 37 ulica u Sarajevu,"U okviru redovnih aktivnosti na održavanju vodovodnog sistema, danas će se izvoditi radovi na popravkama kvarova u više ulica u Sarajevu.",09.11.2022. u 08:24
50,Komunalni problemi,"ViK o plavljenju gradske saobraćajnice u Sarajevu: Pukla glavna cijev, u toku radovi","U toku su radovi na popravci kvara na glavnoj vodovodnoj cijevi u sarajevskoj ulici Bajrama Zenunija, na području općine Novi Grad nakon što je danas u jutarnjim satima pukla transportno-distributivna cijev promjera 400 milimetara.",25.10.2022. u 10:07
51,Digitalizacija usluga,Sarajevski ViK omogućio izdavanje elektronskih računa,Sarajevsko preduzeće Vodovod i kanalizacija (ViK) omogućilo je izdavanje elektronskih računa te je obrazloženo šta to znači za korisnike njihovih usluga.,25.10.2022. u 08:30
52,Problem za vozače,"Sarajevo: Poplavio veliki dio ceste na Alipašinom Polju, zbog puknuća cijevi neće biti vode","Na gradskoj saobraćajnici u Sarajevu, u naselju Alipašino Polje, pukla je vodovodna cijev zbog čega se voda izlila na cestu. Otežano je kretanje vozila u pravcu centra grada.",25.10.2022. u 07:04
53,,"ViK u augustu naplatio skoro 5 miliona KM računa, najviše u historiji preduzeća","Kantonalno javno komunalno preduzeće ""Vodovod i kanalizacija"" d.o.o. Sarajevo u augustu 2022. godine ostvarilo je najveću naplatu na osnovu računa za vodu i odvodnju u historiji preduzeća.",20.10.2022. u 07:29
54,Pitanje zdravlja,Nakon sumnji u ispravnost: Kakvu vodu piju građani Sarajeva?,"Duže vrijeme u Sarajevu postoji sumnja u ispravnost pitke vode. Od preduzeća Vodovod i kanalizacija (ViK) tražili smo odgovore na neka od ključnih pitanja o pitkoj vodi. Ako je suditi po odgovorima, pojedine institucije znaju šta građani piju, ali ne i sami građani.",29.09.2022. u 06:52
55,Kanton Sarajevo,Općina Trnovo: Gradnja na Babinom Dolu je legalna i nije razlog zagađenja izvorišta pitke vode,U Općini Trnovo tvrde da je izgradnja građevina na bjelašničkom Babinom Dolu legalna te da izgradnja u ovom dijelu Kantona Sarajevo nije razlog zagađenja izvorišta pitke vode.,29.08.2022. u 15:47
56,Sarajevo,"Općina Stari Grad platila dug građana iz ulice Nalina, nakon četiri godine ponovo imaju vodu",Općina Stari Grad Sarajevo platila je dug za vodu u iznosu od 13.500 KM građanima koji žive u ulici Nalina. Time im je omogućeno da nakon četiri godine ponovo imaju vodu.,24.08.2022. u 11:44
57,Javna infrastruktura,Općina Novi Grad Sarajevo iznijela niz kritika na račun kantonalne vlasti po pitanju vodosnabdijevanja,Općina Novi Grad Sarajevo nezadovoljna je odnosom kantonalne vlasti prema pitanju vodosnabdijevanja.,12.08.2022. u 15:24
58,Dodatne količine,Kanton Sarajevo planira da javno-privatnim partnerstvom osigura pitku vodu i sa Jahorinskih vrela,Vlast u Kantonu Sarajevo razmatra mogućnost da javno-privatnim partnerstvom osigura dodatne količine pitke vode sa Jahorinskih vrela.,10.08.2022. u 15:52
59,Najava iz ViK-a,Tokom noći dio centralnih sarajevskih ulica neće imati vode,"Večeras, u noći sa četvrtka na petak, u periodu od 00:00 do 05:00 sati planirani su radovi na priključenju novoizgrađenog objekta u ulici Skenderija u Sarajevu.",04.08.2022. u 16:09
